market,signal_time,paper_signal_valid,research_signal_valid,paper_atr14,research_atr14,paper_adx,research_adx,paper_bos_level,research_bos_level,signal_time_offset_bars,pivot_repaint_suspect,indicator_mismatch,mismatch,mismatch_reason
BTC,2026-07-04 17:30:00,True,True,123.94414174580497,123.94414174580497,47.305571071434414,47.305571071434414,62979.86,62979.86,0,False,False,False,
BTC,2026-07-05 22:15:00,False,False,156.80136095827515,156.80136095827515,21.722408068021124,21.722408068021124,63461.99,63461.99,0,False,False,False,
BTC,2026-07-10 08:15:00,True,True,148.22507030994447,148.22507030994447,30.72600409354183,30.72600409354183,64243.75,64243.75,0,False,False,False,
BTC,2026-07-18 17:30:00,False,False,83.0092612305276,83.0092612305276,23.926558491500938,23.926558491500938,64387.99,64387.99,0,False,False,False,
ETH,2026-07-04 15:00:00,True,True,6.198351630688383,6.198351630688383,45.74592774759319,45.74592774759319,1775.78,1775.78,0,False,False,False,
ETH,2026-07-11 14:30:00,False,False,3.448538127850192,3.448538127850192,28.677345210444138,28.677345210444138,1812.0,1812.0,0,False,False,False,
ETH,2026-07-13 00:00:00,True,True,7.443907175879298,7.443907175879298,36.07493060025137,36.07493060025137,1830.0,1830.0,0,False,False,False,
ETH,2026-07-15 12:45:00,False,False,7.937622087011345,7.937622087011345,24.472970903317453,24.472970903317453,1896.14,1896.14,0,False,False,False,
ETH,2026-07-18 18:15:00,False,False,4.291675963102929,4.291675963102929,22.614727025778112,22.614727025778112,1856.17,1856.17,0,False,False,False,
XRP,2026-07-11 19:00:00,False,False,0.002402236017642983,0.002402236017642983,28.2591391118501,28.2591391118501,1.1183,1.1183,0,False,False,False,
XRP,2026-07-15 12:45:00,False,False,0.003195259819601739,0.003195259819601739,15.568094757760777,15.568094757760777,1.121,1.121,0,False,False,False,
XRP,2026-07-18 21:00:00,False,False,0.0022239261275434023,0.0022239261275434023,29.630909278215793,29.630909278215793,1.0958,1.0958,0,False,False,False,
DOGE,2026-07-04 15:30:00,True,True,0.0003237491360389152,0.0003237491360389152,32.3938541505032,32.3938541505032,0.07848,0.07848,0,False,False,False,
ADA,2026-07-04 14:45:00,True,True,0.0014526867063364437,0.0014526867063364437,38.31480941347633,38.31480941347633,0.1832,0.1832,0,False,False,False,
LINK,2026-07-04 15:00:00,True,True,0.030588408142866147,0.030588408142866147,34.08332246116476,34.08332246116476,8.04,8.04,0,False,False,False,
LINK,2026-07-15 11:45:00,False,False,0.02984185234865247,0.02984185234865247,23.320405728585065,23.320405728585065,8.406,8.406,0,False,False,False,
AVAX,2026-07-04 17:30:00,True,True,0.0277591945055875,0.0277591945055875,39.52300004336984,39.52300004336984,7.035,7.035,0,False,False,False,
LTC,2026-07-04 16:45:00,True,True,0.17269532368144802,0.17269532368144802,30.843977422098796,30.843977422098796,45.35,45.35,0,False,False,False,
LTC,2026-07-05 16:00:00,True,True,0.19356646171102107,0.19356646171102107,40.86463569091386,40.86463569091386,45.71,45.71,0,False,False,False,
LTC,2026-07-17 03:00:00,False,False,0.1948105824005299,0.1948105824005299,18.38149586572154,18.38149586572154,45.42,45.42,0,False,False,False,
