signal_id,market,signal_time,close,atr14,adx,swing_high_level,swing_low_level,bos_direction,signal_valid,skip_reason,position_exists
ETH_202607041500,ETH,2026-07-04 15:00:00,1785.04,6.198351630688383,45.74592774759319,1775.78,1550.2,bullish,True,,False
DOGE_202607041530,DOGE,2026-07-04 15:30:00,0.07871,0.0003237491360389152,32.3938541505032,0.07848,0.06952,bullish,True,,False
ADA_202607041445,ADA,2026-07-04 14:45:00,0.1843,0.0014526867063364437,38.31480941347633,0.1832,0.142,bullish,True,,False
LINK_202607041500,LINK,2026-07-04 15:00:00,8.049,0.030588408142866147,34.08332246116476,8.04,7.076,bullish,True,,False
LTC_202607041645,LTC,2026-07-04 16:45:00,45.37,0.17269532368144802,30.843977422098796,45.35,43.1,bullish,True,,False
BTC_202607041730,BTC,2026-07-04 17:30:00,63175.99,123.94414174580497,47.305571071434414,62979.86,57800.19,bullish,True,,False
AVAX_202607041730,AVAX,2026-07-04 17:30:00,7.044,0.0277591945055875,39.52300004336984,7.035,6.792,bullish,True,,False
LTC_202607051600,LTC,2026-07-05 16:00:00,45.77,0.19356646171102107,40.86463569091386,45.71,43.96,bullish,True,,False
BTC_202607052215,BTC,2026-07-05 22:15:00,63717.99,156.80136095827515,21.722408068021124,63461.99,62436.59,bullish,False,adx_below_30,False
BTC_202607100815,BTC,2026-07-10 08:15:00,64331.99,148.22507030994447,30.72600409354183,64243.75,61544.56,bullish,True,,False
ETH_202607111430,ETH,2026-07-11 14:30:00,1814.41,3.448538127850192,28.677345210444138,1812.0,1713.44,bullish,False,adx_below_30,False
XRP_202607111900,XRP,2026-07-11 19:00:00,1.1186,0.002402236017642983,28.2591391118501,1.1183,1.0964,bullish,False,adx_below_30,False
ETH_202607130000,ETH,2026-07-13 00:00:00,1840.05,7.443907175879298,36.07493060025137,1830.0,1779.46,bullish,True,,False
LINK_202607151145,LINK,2026-07-15 11:45:00,8.423,0.02984185234865247,23.320405728585065,8.406,7.795,bullish,False,adx_below_30,False
ETH_202607151245,ETH,2026-07-15 12:45:00,1927.16,7.937622087011345,24.472970903317453,1896.14,1750.2,bullish,False,adx_below_30,False
XRP_202607151245,XRP,2026-07-15 12:45:00,1.1211,0.003195259819601739,15.568094757760777,1.121,1.0535,bullish,False,adx_below_30,False
LTC_202607170300,LTC,2026-07-17 03:00:00,45.64,0.1948105824005299,18.38149586572154,45.42,44.35,bullish,False,adx_below_30,False
BTC_202607181730,BTC,2026-07-18 17:30:00,64450.0,83.0092612305276,23.926558491500938,64387.99,62537.56,bullish,False,adx_below_30,False
