trade_id,market,direction,signal_time,entry_time,entry_price,atr_at_entry,stop_loss,take_profit,exit_time,exit_price,exit_reason,gross_R,cost_R,net_R,bars_held,adx_at_signal,bos_level,mfe_R,mae_R,status
PT-000001-ETH,ETH,LONG,2026-07-04 15:00:00,2026-07-04 15:00:00,1785.397008,6.198351630688383,1766.444945107935,1840.8251646761955,2026-07-05 01:15:00,1766.0916561189133,SL,-1.0381981657566688,0.11459461727002693,-1.1527927830266957,41,45.74592774759319,1775.78,1.2159146682405453,1.1341725056697416,CLOSED
PT-000002-DOGE,DOGE,LONG,2026-07-04 15:30:00,2026-07-04 15:30:00,0.078725742,0.0003237491360389152,0.07773875259188326,0.08162374222435023,2026-07-04 23:00:00,0.07772320484136488,SL,-1.0322160453215954,0.09664825596480323,-1.1288643012863986,30,32.3938541505032,0.07848,0.6898345307290321,1.225228494876927,CLOSED
PT-000003-ADA,ADA,LONG,2026-07-04 14:45:00,2026-07-04 14:45:00,0.18433686,0.0014526867063364437,0.17994193988099066,0.19737418035702797,2026-07-04 16:15:00,0.19733470552095658,TP,2.98248421683344,0.052546989499683776,2.929937227333756,6,38.31480941347633,0.1832,3.120654517976576,0.0,CLOSED
PT-000004-LINK,LINK,LONG,2026-07-04 15:00:00,2026-07-04 15:00:00,8.0506098,0.030588408142866147,7.9572347755714015,8.324295673285794,2026-07-05 00:30:00,7.955643328616287,SL,-1.0348851863551563,0.10465567906546505,-1.1395408654206214,38,34.08332246116476,8.04,1.383966538422385,1.0679426831920695,CLOSED
PT-000005-LTC,LTC,LONG,2026-07-04 16:45:00,2026-07-04 16:45:00,45.379073999999996,0.17269532368144802,44.851914028955655,46.92425791313303,2026-07-04 23:00:00,44.84294364614986,SL,-1.034828935378072,0.10448692613422751,-1.1393158615122996,25,30.843977422098796,45.35,0.6562617384034553,1.196712581794519,CLOSED
PT-000006-BTC,BTC,LONG,2026-07-04 17:30:00,2026-07-04 17:30:00,63188.625197999994,123.94414174580497,62804.15757476258,64291.48727571224,2026-07-05 01:30:00,62791.59674324763,SL,-1.0677617867749427,0.2032854803248683,-1.271047267099811,32,47.305571071434414,62979.86,0.7691636893081314,1.0111813130872824,CLOSED
PT-000007-AVAX,AVAX,LONG,2026-07-04 17:30:00,2026-07-04 17:30:00,7.0454088,0.0277591945055875,6.960722416483237,7.293832750550287,2026-07-04 23:00:00,6.95933027199994,SL,-1.033633834760984,0.10090162428294525,-1.1345354590439292,22,39.52300004336984,7.035,0.8525703676993631,1.1287551347005484,CLOSED
PT-000008-LTC,LTC,LONG,2026-07-05 16:00:00,2026-07-05 16:00:00,45.779154000000005,0.19356646171102107,45.18930061486694,47.512098155399194,2026-07-05 16:15:00,45.180262754743964,SL,-1.0313275002328608,0.09398262069855774,-1.1253101209314185,1,40.86463569091386,45.71,0.06888245626578962,1.1537811424520037,CLOSED
PT-000009-BTC,BTC,LONG,2026-07-10 08:15:00,2026-07-10 08:15:00,64344.856397999996,148.22507030994447,63887.314789070166,65666.0156327895,2026-07-10 14:30:00,63874.53732611235,SL,-1.0576687441249253,0.1730063523748048,-1.2306750964997302,25,30.72600409354183,64243.75,0.8114686655131351,1.2111311509221472,CLOSED
PT-000010-ETH,ETH,LONG,2026-07-13 00:00:00,2026-07-13 00:00:00,1840.4180099999999,7.443907175879298,1817.718278472362,1907.0451645829137,2026-07-13 00:30:00,1817.3547348166676,SL,-1.0327584980311082,0.09827561409333666,-1.131034112124445,2,36.07493060025137,1830.0,0.1741916759612916,1.4768230008234582,CLOSED
